VoWTI,SoWTI,CoWTI,EoI,Class,,V_norm,S_norm,C_norm,E_norm,,,,,,,,
,1.52888165,-0.57798461,0.265118812,0.938508969,0,,1.440276819,1.088416084,3.933134209,0.884454436,1.63132695,4.213429943,4.726939551,5.06491958,4.500913114,4.717086882,
,0.803365907,0.368017589,-0.36384395,0.439119955,0,,0.39156373,0.613427794,2.856564999,0.594650694,0.240139915,1.313213711,2.380371922,4.454198096,3.228153859,2.178488907,
,0.127162505,0.336167094,0.437447049,0.447813901,0,,0.859625783,1.484283278,2.779538539,1.17008721,0.982638639,1.381652867,1.05578796,4.269971723,2.796619766,0.667478221,
,0.360369164,-0.796364969,1.24409973,-1.071412556,0,,2.212682271,2.852180302,2.696768336,2.532279457,2.452754373,2.735531484,0.851978648,2.473154497,1.137864053,1.937430915,
,1.733659066,1.53512642,-1.316879816,-2.188396861,0,,3.098338473,3.425050958,2.246131199,3.620507705,3.050864916,4.054193813,2.551300628,0.903774754,0.99431612,3.508108551,
,-0.669308722,0.40532063,-0.719732118,-1.007623318,1,,2.027387142,2.666715208,1.55609644,2.55249775,1.870605516,2.04279924,0.421704396,3.150034344,1.72072636,1.273745973,
,-0.022468332,-0.102101869,-0.44525235,0.307197309,1,,1.039717779,1.404147748,2.763362297,1.174352801,0.870525224,1.177057232,2.091810836,4.901514301,3.612008504,2.049569155,
,-0.767245747,-1.129688531,1.153346512,0.652942825,1,,2.523055556,2.901883463,3.890142925,2.473172143,2.635236345,1.650315388,2.578498587,5.517513874,4.227010078,2.433635391,
,-1.556460369,-1.958006596,2.724633881,-0.607511211,1,,4.400853005,4.956226181,4.738590548,4.534392878,4.579074437,2.27080649,3.331299908,4.849468828,3.889288987,3.343058858,
,-1.45504886,-1.28498351,1.595130512,0.652942825,1,,3.277204362,3.704282189,4.306194006,3.279376157,3.379329257,1.539559107,2.164690445,5.114783416,3.817253574,2.114854114,
,-0.988997467,-0.126062294,-0.169564691,0.882006726,1,,1.979385948,2.288167314,3.376640752,2.00385165,1.851250723,0.952693746,2.190257015,5.097906248,3.764236151,1.968683466,
,-0.8,0.320395749,-0.949610683,-1.141704036,1,,2.285722321,2.878539543,1.657291188,2.777656812,2.109520215,0,2.01676014,4.824440662,3.4728675,1.699380694,
,-0.487256605,0.38773177,-0.806309759,-1.540358744,1,,2.306415742,2.949758441,1.227709844,2.866448567,2.183183702,2.01676014,0,3.22439876,1.770974789,1.170881952,
,-0.039377488,-0.062975449,-0.496758381,0.192679372,1,,1.052977067,1.457009809,2.650144692,1.250375649,0.868837687,4.824440662,3.22439876,0,1.536393593,4.208795561,
,-0.520304017,-1.057500916,0.736111671,0.416647982,1,,2.112952277,2.502596707,3.520300859,2.083924041,2.205163909,3.4728675,1.770974789,1.536393593,0,2.680075663,
,-1.036445892,-1.420256504,1.446141122,-0.255263453,1,,3.010191485,3.542636541,3.690772823,3.127833502,3.143807444,1.699380694,1.170881952,4.208795561,2.680075663,0,
,-0.715671372,-0.99775742,0.6408803,0.446367713,1,,2.173314523,2.57163408,3.506768857,2.162585966,2.234115817,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-0.386036916,-0.094519311,-0.502981402,0.392006726,1,,1.36966821,1.719966961,2.846930009,1.491347477,1.182047244,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-0.295787188,0.342836204,-1.174284907,-1.604876682,1,,2.406859643,2.960061955,1.426801575,2.926243963,2.251677692,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-2.300253348,0.881509711,-0.302313713,-3.633688341,1,,4.973545092,5.72980086,2.649999633,5.59244775,4.91328316,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-0.822909881,0.322213265,-0.584562472,-1.208408072,1,,2.225971733,2.899775325,1.484109184,2.759502957,2.101837458,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-0.444013753,-0.356262367,0.045790132,0.745011211,1,,1.543115682,1.85528104,3.269794535,1.505651436,1.494788806,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-0.821896489,-1.405701722,1.379937064,0.041911435,1,,2.807707281,3.283207472,3.768210513,2.859352682,2.948248508,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-1.459391965,-1.976504214,2.21942954,-1.328755605,1,,4.262881569,4.869555922,4.242817412,4.473353591,4.421995455,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,-0.823054651,-1.089952364,0.664219147,0.142664238,1,,2.303818206,2.763192558,3.378865475,2.362271788,2.367035712,0.768066255,1.386362402,4.277336023,2.906260905,1.351123892,
,0.799276149,0.383187981,-0.043046758,0.21514574,0,,,,,,,,,,,,
,1.259066232,0.19058996,-0.443523823,0.800784753,0,,,,,,,,,,,,
,-0.157412233,1.192993771,-0.156614354,-2.113004484,0,,,,,,,,,,,,
,1.009482447,-0.021119824,-0.156089886,0.780493274,0,,,,,,,,,,,,
,0.650814332,0.442931477,-0.367646347,0.269506726,0,,,,,,,,,,,,
,-0.016670286,0.11658483,-0.731310768,-0.203077354,1,,,,,,,,,,,,
,-0.666268549,-0.796057164,0.867813773,0.302124439,1,,,,,,,,,,,,
,-1.520991676,-2.053851228,3.110077863,-1.446132287,1,,,,,,,,,,,,
,-1.453456388,-1.309857091,2.061100577,-0.60823991,1,,,,,,,,,,,,
,-1.08364097,-0.177624038,0.102654617,0.780493274,1,,,,,,,,,,,,
